pearson_r,r2,estimate__count__
0.0,0.0056695033739947,56.0
0.01,0.0137542144417408,64.0
0.02,0.0316172275976439,54.0
0.03,0.0606528702282429,54.0
0.04,0.0813043366060344,49.0
0.05,0.1184094903119116,47.0
0.06,0.1449769135854548,41.0
0.07,0.2702426052257178,52.0
0.08,0.3501089585271394,53.0
0.09,0.4966287332401498,60.0
0.1,0.6290431083225555,60.0
0.11,0.6020554184801705,47.0
0.12,0.834541809350517,57.0
0.13,0.6906310016334426,40.0
0.14,1.049020581525666,53.0
0.15,0.8707595102545717,39.0
0.16,1.2615515015518168,51.0
0.17,1.2511933526186587,44.0
0.18,1.2770588684758868,39.0
0.19,1.987837123413592,55.0
0.2,1.9880667418464657,49.0
0.21,2.3433511301108827,53.0
0.22,1.8295571232263688,37.0
0.23,1.988476389917516,38.0
0.24,2.9560539726970205,51.0
0.25,3.449079253989658,55.0
0.26,3.3588799215307072,50.0
0.27,4.119406630091277,56.0
0.28,2.894657151084705,37.0
0.29,5.221468622025969,62.0
0.3,3.772687898301733,42.0
0.31,5.163311687982884,54.0
0.32,4.488203229775424,44.0
0.33,4.886150480787049,45.0
0.34,5.074926325969226,44.0
0.35,5.730243572193705,47.0
0.36,7.11076786519186,55.0
0.37,6.023976688460088,44.0
0.38,7.445762884563918,51.0
0.39,8.394072907632209,55.0
0.4,7.979029064400085,50.0
0.41,7.74379196912431,46.0
0.42,8.288214544514215,47.0
0.43,9.184369572413884,50.0
0.44,9.634627327537894,50.0
0.45,11.78660755517917,58.0
0.46,11.610273891698371,55.0
0.47,11.458365045907776,52.0
0.48,9.222821986040229,40.0
0.49,12.213687284683743,51.0
0.5,12.745145981250465,51.0
0.51,14.879098184834447,57.0
0.52,13.81255913320968,51.0
0.53,11.824142103617705,42.0
0.54,13.698201971582908,47.0
0.55,17.527323388476827,58.0
0.56,14.737776923031555,47.0
0.57,13.366186917793057,41.0
0.58,19.16511414336427,57.0
0.59,16.360054227437615,47.0
0.6,12.960423780206026,36.0
0.61,18.19647864203427,49.0
0.62,18.49794530670558,48.0
0.63,21.911472527479805,55.0
0.64,22.061695931449183,54.0
0.65,24.398356264780457,58.0
0.66,20.43730729480649,47.0
0.67,22.89092351608368,51.0
0.68,23.99897357220973,52.0
0.69,28.126696901142367,59.0
0.7,23.526475894400427,48.0
0.71,31.278919016719502,62.0
0.72,28.03753003015164,54.0
0.73,23.980960683161392,45.0
0.74,21.355698954366687,39.0
0.75,34.81330361926905,62.0
0.76,32.35338703329103,56.0
0.77,28.49436566119053,48.0
0.78,23.114012919375448,38.0
0.79,38.71862349800794,62.0
0.8,30.04255323478852,47.0
0.81,30.150059937508,46.0
0.82,46.35521373808086,69.0
0.83,33.06442822340648,48.0
0.84,28.258080316920875,40.0
0.85,40.42539301404788,56.0
0.86,31.03424377915458,42.0
0.87,34.05280589823914,45.0
0.88,44.151519067383255,57.0
0.89,45.13615500517057,57.0
0.9,40.51652567858982,50.0
0.91,49.68292568226658,60.0
0.92,43.17896533935239,51.0
0.93,41.53241798383128,48.0
0.94,50.37430688172467,57.0
0.95,44.21981208823281,49.0
0.96,53.45354030790388,58.0
0.97,48.93483516770586,52.0
0.98,51.85573749655277,54.0
0.99,49.00585085357197,50.0
